logical_bundle,source_file,source_kind,string
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""RidingStun""]= ""80148MountBowBreak"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""RidingStun""]= ""MountBowBreak"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""TicketsNum""]= 10,"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""TicketsNum""]= 20,"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""TicketsNum""]= 5,"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""luaFilePath""]=""CoupleBreakRelation"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""ticketId""]=10227001"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""ticketId""]=10229001"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""view""]=""UI_EquipInherit_New"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""view""]=""UI_EquipRefine"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""view""]=""UI_GuildPray"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""view""]=""UI_ImproveQualityInherit"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""view""]=""UI_InternationalChampionshipEquipRefine"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""view""]=""UI_ShadowInherit"""
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""TicketsID""]= 10202407,"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""WorldKvmTicket""]= 3,"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""WorldKvmTicketNum""]= 1000,"
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""+5 weapon for refine"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""Bless me with easy refine and drop pls"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""Good Luck!"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""To protect the world from devastation!"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""i hope i can make my weapon to +5 refine"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""i wish to get good rates refine upgrade n enchant"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""permudah refine ke +7 plisss GM!!!!"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""refine berhasillll plsss"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,"[""Content""]= ""yok gas refineeeeeee"","
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,80148MountBowBreak
lua_data_data_2.bundle,17dc68a7b7b5f9dd8ecaa089c5df99f4.bundle.bin,unpacked_stream,MountBowBreak
